nflips,avg,dev
0.023809523809523808,1.0,0.0
0.07142857142857142,0.9596666666666667,0.1576484791957775
0.11904761904761904,0.9291011904761903,0.15964495840366272
0.16666666666666666,0.9120892857142857,0.15519807169188898
0.21428571428571427,0.8804912032412033,0.1686882881459839
0.2619047619047619,0.896872766122766,0.1403423888018074
0.30952380952380953,0.8908642623716154,0.1348976966853711
0.35714285714285715,0.91085101010101,0.127413363829094
0.40476190476190477,0.9117554748313261,0.11916358943176755
0.4523809523809524,0.9218411065198991,0.1190753043101663
0.5,0.9297524028259322,0.10785843764209099
0.5476190476190477,0.9361574683916015,0.10274840791280641
0.5952380952380952,0.940246783767488,0.09773549598902208
0.6428571428571429,0.935751907943278,0.10310253231002003
0.6904761904761905,0.9446629561314159,0.10060830029107139
0.7380952380952381,0.9512379454051281,0.08701762869456853
0.7857142857142857,0.958487934279343,0.08388761864096352
0.8333333333333334,0.9653101264705367,0.07693914086340817
0.8809523809523809,0.9644181736735916,0.08200947880791315
0.9285714285714286,0.9706077982475043,0.07353309972527708
0.9761904761904762,0.9821834321724029,0.05240414914740229
1.0238095238095237,0.9676283230228664,0.08253557343063402
1.0714285714285714,0.9743203512174101,0.0674472822858835
1.119047619047619,0.984884524703023,0.055259178884838764
1.1666666666666667,0.9718048600006804,0.06749916718922655
1.2142857142857142,0.9839019983241732,0.05344480842194705
1.2619047619047619,0.9841334350204319,0.063822478236869
1.3095238095238095,0.9887470538147782,0.04292578808015848
1.3571428571428572,0.9864490440115441,0.05594071256715627
1.4047619047619047,0.9915973389355741,0.04027936766991472
1.4523809523809523,0.9923667998667999,0.046238285664726604
1.5,0.9908648827952234,0.04133807658189184
